"","EPU","zoo_name","season","year","anom1"
"449","GOM","Large","fall",1977,0.602047646403394
"450","GOM","Large","fall",1978,-0.0675626152039299
"451","GOM","Large","fall",1979,-0.0505760482283878
"452","GOM","Large","fall",1980,-0.0287677036077941
"453","GOM","Large","fall",1981,-0.35559031985774
"454","GOM","Large","fall",1982,0.166626885391279
"455","GOM","Large","fall",1983,0.0995574426706865
"456","GOM","Large","fall",1984,0.0480018590050485
"457","GOM","Large","fall",1985,0.109856566969119
"458","GOM","Large","fall",1986,0.22293226602701
"459","GOM","Large","fall",1987,0.201984368863614
"460","GOM","Large","fall",1988,-0.159010977462364
"461","GOM","Large","fall",1989,-0.250544134120184
"462","GOM","Large","fall",1990,-0.755407985505123
"463","GOM","Large","fall",1991,-0.223024562473103
"464","GOM","Large","fall",1992,-0.0260784279375131
"465","GOM","Large","fall",1993,-0.384498199652211
"466","GOM","Large","fall",1994,0.0769555031328168
"467","GOM","Large","fall",1995,-0.0440173406612216
"468","GOM","Large","fall",1996,0.0233522408357159
"469","GOM","Large","fall",1997,-0.0373952545648672
"470","GOM","Large","fall",1998,-0.498517666009086
"471","GOM","Large","fall",1999,0.232602089974996
"472","GOM","Small","spring",2000,0.543102383709737
"473","GOM","Small","spring",2001,0.82127002204352
"474","GOM","Small","spring",2002,-1.09358223676012
"475","GOM","Small","spring",2003,-0.124516576754583
"476","GOM","Small","spring",2004,-0.294138668746028
"477","GOM","Small","spring",2005,-0.879487781927991
"478","GOM","Small","spring",2006,-0.883606811373615
"479","GOM","Small","spring",2007,-0.440819790538897
"480","GOM","Small","spring",2008,-0.852736133996434
"481","GOM","Small","spring",2009,-0.357788717038014
"482","GOM","Small","spring",2010,0.33556798292749
"483","GOM","Small","spring",2011,0.0391449891736178
"484","GOM","Small","spring",2012,0.0815740073158401
"485","GOM","Small","spring",2013,0.45453606862081
"486","GOM","Small","spring",2014,-0.194993689788712
"487","GOM","Small","spring",2015,0.324563558564774
"488","GOM","Small","spring",2016,0.835646073653351
"489","GOM","Small","spring",2017,0.478657486652544
"490","GOM","Small","spring",2018,1.08582924542983
"491","GOM","Small","spring",1977,-0.107366251265687
"492","GOM","Small","spring",1978,-0.301168376087152
"493","GOM","Small","spring",1979,0.409655264025308
"494","GOM","Small","spring",1980,0.0677962356057925
"495","GOM","Small","spring",1981,0.184125068114102
"496","GOM","Small","spring",1982,0.322611692035324
"497","GOM","Small","spring",1983,-0.430797152576964
"498","GOM","Small","spring",1984,-0.505789003370282
"499","GOM","Small","spring",1985,-0.63408141085365
"500","GOM","Small","spring",1986,-0.55058093875045
"501","GOM","Small","spring",1987,-0.0375777640768582
"502","GOM","Small","spring",1988,-0.689053144353146
"503","GOM","Small","spring",1990,-0.239702489571179
"504","GOM","Small","spring",1992,0.0677544775039927
"505","GOM","Small","spring",1993,0.125546913034696
"506","GOM","Small","spring",1994,-0.222889557901015
"507","GOM","Small","spring",1995,0.234495675642429
"508","GOM","Small","spring",1996,0.176801830851658
"509","GOM","Small","spring",1997,0.0478090438925526
"510","GOM","Small","spring",1998,0.0966230811402329
"511","GOM","Small","spring",1999,0.485150178660832
"512","GOM","Small","summer",2000,0.162363567668822
"513","GOM","Small","summer",2001,0.200381079661971
"514","GOM","Small","summer",2002,-0.123978498151298
"515","GOM","Small","summer",2003,-0.0115030682337754
"516","GOM","Small","summer",2004,-0.175317313733543
"517","GOM","Small","summer",2005,-0.479663260294624
"518","GOM","Small","summer",2006,-0.21089539881231
"519","GOM","Small","summer",2007,-0.291188184147777
"520","GOM","Small","summer",2008,0.0351985880434149
"521","GOM","Small","summer",2009,-0.0385215492135401
"522","GOM","Small","summer",2010,0.101101921293232
"523","GOM","Small","summer",2011,-0.484522015783329
"524","GOM","Small","summer",2012,0.562064435312494
"525","GOM","Small","summer",2013,0.137520001441607
"526","GOM","Small","summer",2015,0.550662740016634
"527","GOM","Small","summer",2016,0.536308781682164
"528","GOM","Small","summer",2017,-0.258161136019094
"529","GOM","Small","summer",2018,0.22343053827709
"530","GOM","Small","summer",1977,0.0375615040443707
"531","GOM","Small","summer",1978,-0.0505445966322274
"532","GOM","Small","summer",1979,0.269891315845078
"533","GOM","Small","summer",1980,-0.00989899901239055
"534","GOM","Small","summer",1981,-0.100798216600038
"535","GOM","Small","summer",1982,0.262557990981863
"536","GOM","Small","summer",1983,-0.284840599820258
"537","GOM","Small","summer",1984,-0.134531633592027
"538","GOM","Small","summer",1985,-0.537827711937799
"539","GOM","Small","summer",1986,-0.634208001074054
"540","GOM","Small","summer",1987,-0.429774336992081
"541","GOM","Small","summer",1988,-0.969564411910202
"542","GOM","Small","summer",1991,0.0773571290096952
"543","GOM","Small","summer",1992,0.0328508102587983
"544","GOM","Small","summer",1994,-0.404348939308004
"545","GOM","Small","summer",1995,0.0154729839317745
"546","GOM","Small","summer",1996,-0.0813882186285521
"547","GOM","Small","summer",1997,0.063662013041039
"548","GOM","Small","summer",1998,-0.0564736777664377
"549","GOM","Small","summer",1999,0.164839645571991
"550","GOM","Small","winter",2002,-0.175785568695769
"551","GOM","Small","winter",2003,-0.556058596773102
"552","GOM","Small","winter",2004,-0.71579709103899
"553","GOM","Small","winter",2005,-0.749223292985871
"554","GOM","Small","winter",2006,-1.02864465243854
"555","GOM","Small","winter",2007,-0.633383481452716
"556","GOM","Small","winter",2008,-0.321505744807791
"557","GOM","Small","winter",2009,-0.735260383438639
"558","GOM","Small","winter",2010,-0.0152994528110669
"559","GOM","Small","winter",2011,-0.577808404201982
"560","GOM","Small","winter",2012,-0.413231395165676
"561","GOM","Small","winter",2013,-0.0618472975124106
"562","GOM","Small","winter",2017,-0.0628889813644488
"563","GOM","Small","winter",1977,-0.407797196672294
"564","GOM","Small","winter",1978,-1.1430377466943
"565","GOM","Small","winter",1979,-0.0128462264794436
"566","GOM","Small","winter",1980,0.14397558529207
"567","GOM","Small","winter",1981,0.235680792381205
"568","GOM","Small","winter",1982,0.216235938540503
"569","GOM","Small","winter",1983,-0.478113615434841
"570","GOM","Small","winter",1984,-0.284479083405608
"571","GOM","Small","winter",1985,-0.144336498184491
"572","GOM","Small","winter",1986,-0.313024275207246
"573","GOM","Small","winter",1987,-0.634834146672153
"574","GOM","Small","winter",1988,0.761745198218257
