NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MEAN,VAR,SKEW
M_200307-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200307,M,STATS,oC,1568070215,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,16.82423621933415,4.743728874627469,0.7197867106991318
M_200308-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200308,M,STATS,oC,1568071104,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,23.68561347092893,0.9590046328666171,-0.4619566232242566
M_200308-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200308,M,STATS,oC,1568071104,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,18.18855979525093,2.324936341672796,-0.8326601242929972
M_200308-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200308,M,STATS,oC,1568071104,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,15.31893509367423,4.004724414503651,0.2867606895114264
M_200308-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200308,M,STATS,oC,1568071104,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,18.91024938763313,3.604155436861591,0.5792922456671253
M_200309-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200309,M,STATS,oC,1568071927,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,22.04387250730186,1.701022577370987,-0.1098519905295920
M_200309-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200309,M,STATS,oC,1568071927,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,16.82269030377425,1.487449401375030,-0.8998686057554038
M_200309-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200309,M,STATS,oC,1568071927,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,14.30682638602459,3.522221181487470,0.3191159946064482
M_200309-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200309,M,STATS,oC,1568071927,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,18.33892230825604,3.467671309750370,0.7871686721832920
M_200310-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200310,M,STATS,oC,1568072750,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,18.64732948696245,2.091256122295432,0.6005540558620364
M_200310-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200310,M,STATS,oC,1568072750,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,13.33249792040554,0.9924084592923664,0.1630465042248783
M_200310-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200310,M,STATS,oC,1568072750,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,12.45708505493060,1.442649795128171,0.6750760957565793
M_200310-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200310,M,STATS,oC,1568072750,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,15.64311752382315,1.136133297637339,0.8898117745371580
M_200311-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200311,M,STATS,oC,1568073571,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,14.78434944192875,2.589949525013915,1.055166632282206
M_200311-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200311,M,STATS,oC,1568073571,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,9.779764565323200,0.2551921886395934,0.4475450829473278
M_200311-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200311,M,STATS,oC,1568073571,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,9.525659522109949,0.4296628017042816,0.7895256957935520
M_200311-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200311,M,STATS,oC,1568073571,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,11.97493808269501,0.9239966892282838,-0.3377649523666710
M_200312-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200312,M,STATS,oC,1568074363,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,10.83889828612721,2.533438287751604,1.014577161456964
M_200312-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200312,M,STATS,oC,1568074363,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,7.409389160939021,0.2022882730380468,-1.453019743898163
M_200312-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200312,M,STATS,oC,1568074363,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,7.186073147033549,0.4431238780843754,-0.02807325440101480
M_200312-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200312,M,STATS,oC,1568074363,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,8.957169721756342,1.835426449815948,0.6759045789760765
M_200401-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200401,M,STATS,oC,1568065012,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,8.401348025618729,3.986130982342689,0.5315786365368687
M_200401-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200401,M,STATS,oC,1568065012,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,5.783655267099153,0.3401737165599898,-1.212105652975397
M_200401-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200401,M,STATS,oC,1568065012,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,5.118035766576668,0.5080593796154180,0.2032252137819343
M_200401-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200401,M,STATS,oC,1568065012,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,6.615772822038183,2.200495267932550,0.9728642475908561
M_200402-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200402,M,STATS,oC,1568065789,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,6.098141641127045,5.811755789091285,0.7162282189225444
